Dog breeds,English name,summary,Origins,Lifetime,Weight range,Shoulder height range,Character key words,Precautions for feeding,Common health issues,Grouping,body shape,training,Hair shedding,Sports needs,Is it appropriate to get along with children
United Kingdom Toy Sandpiper Dog,English Toy Spaniel,"United Kingdom small toy dog, quiet and gentle, small size, suitable for apartment breeding.",United Kingdom,10-14 years,4-6Kg,25-28cm,"quiet, docile, loyal",1. 30-minute walk every day; 2-Avoid high-temperature environments to prevent heatstroke. 3 Regularly clean the ear canal to prevent infection,"Short nose syndrome, patellar dislocation, heart disease",toy,small,4,2,2,Yes
Japan,Japanese Chin,"An ancient Japanese toy dog, with a similar appearance to the Jingba, has an elegant and proud personality, and is a companion dog for the noble.",Japan,12-15 years,2-4Kg,20-27cm,"Elegance, pride, and cleverness",1. 30 minutes of light exercise per day; 2-Avoid vigorous exercise to prevent hypoxia. 3 Clean the face regularly to prevent tear stains,"Patellar dislocation, tracheal collapse, eye disease",toy,small,3,2,1,No
Monkey-faced dog,Affenpinscher,"German small terrier toy dog, with a monkey-like face, lively and clever personality, good at catching mice.",Germany,12-15 years,3-4Kg,23-29cm,"Smart, lively, brave","1. 30 minutes of daily interactive exercise; 2-Brush the coat twice a week. 3 Correct the habit of calling love, focus on training","Patellar dislocation, periodontal disease, joint dysplasia",toy,small,4,2,3,Yes
silk hair stem,Silky Terrier,"Australian small terrier, with smooth and soft fur, lively and agile personality, good at catching mice.",Australia,12-15 years,4-6Kg,23-26cm,"Smart, lively, loyal",1. 1 hour of light exercise per day; 2-Brush the silk coat three times a week. 3. Avoid conflicts with large dogs and protect yourself,"Patellar dislocation, hypoglycemia, skin allergies",terrier,small,4,1,3,Yes
Australian silk stalk,Australian Silky Terrier,"The improved variety of silk hair stems has a smaller size, smooth coat, and a lively and friendly personality.",Australia,12-15 years,3-5Kg,22-25cm,"Lively, family, clever",1. 30-minute walk every day; 2-Regularly trim the fur for easy maintenance. 3 Focus on social training and avoid being timid,"Patellar dislocation, eye disease, periodontal disease",terrier,small,4,1,3,Yes
Lake-side stem,Lakeland Terrier,"United Kingdom Lake area terrier, small in size, thick and hard fur, brave and lively, good at hunting.",United Kingdom,12-16 years,7-8Kg,33-38cm,"Brave, lively, quick",1. 1.5 hours of exercise per day; 2-Brush the coarse and hard coat twice a week. 3 Correct mining out instincts and regulate behavior,"Patellar dislocation, cataracts, skin allergies",terrier,small,4,3,4,Yes
Dandy Dingmon,Dandie Dinmont Terrier,"The ancient Scottish terrier has a unique appearance, soft fur, and a gentle and independent personality.",Scotland,12-15 years,8-11Kg,20-28cm,"independent, docile, brave",1. 1 hour of exercise per day; 2-Brush the coat three times a week. 3 Regularly check the spine to prevent injury,"disc herniation, patellar dislocation, eye disease",terrier,small,3,4,3,Yes
Irish Blue Terrier,Irish Blue Terrier,"The Kelly Blue Terrier, also known as the Kelly Blue Terrier, has a unique blue coat and is intelligent and loyal, making it an all-around work terrier.",Ireland,12-15 years,15-18Kg,45-50cm,"Smart, loyal, lively",1. 2 hours of exercise per day; 2-Brush the coat twice a week. 3 Pay attention to intellectual training to prevent boredom,"hip dysplasia, cataracts, thyroid disease",terrier,medium,4,3,4,Yes
The Czech stem,Cesky Terrier,"The terrier bred by Czech has soft fur and a gentle personality, suitable for family breeding.",Czech,12-15 years,6-8Kg,28-35cm,"Docile, smart, loyal",1. 1 hour of exercise per day; 2-Brush the coat twice a week. 3 Regular diet to prevent gastrointestinal problems,"Patellar dislocation, eye disease, gastrointestinal sensitivity",terrier,small,4,2,3,Yes
American hairless stem,American Hairless Terrier,"The American-bred terrierless dog has smooth skin and a lively and friendly personality, suitable for raising allergic individuals.",United States,12-16 years,5-8Kg,28-38cm,"Lively, family, clever",1. 30 minutes of light exercise per day; 2-Regularly apply skincare products to protect the skin. 3 Keep warm in winter and sun protection in summer,"Skin allergies, sunburn, and poor joint development",terrier,small,4,1,2,Yes
Peru Hairless Dog,Peruvian Inca Orchid,"Peru's ancient hairless dog, with different sizes and sizes, has a gentle and independent personality, and is a companion dog of the Inca civilization.",Peru,12-16 years,4-25Kg,25-55cm,"Docile, independent, clever","1. 1 hour of exercise per day; 2-Sun protection and moisturizing for the skin, preventing damage; 3 Focus on social training and adapt to the environment","Sunburn, sensitive stomach, joint problems",NON-sporting,medium,3,1,3,Yes
Mexican hairless dog,Xoloitzcuintli,"Ancient Mexican dog breed, divided into three body types, hairless, calm and loyal, used for worship and companionship.",Mexico,13-17 years,4-18Kg,25-58cm,"Steady, loyal, independent","1. 1 hour of exercise per day; 2-Skin cleansing and moisturizing, sun protection and frost prevention; 3 Check the heart regularly to prevent diseases","Skin problems, heart disease, gastrointestinal sensitivity",NON-sporting,medium,3,1,3,Yes
Portuguese Bordenco Dog,Portuguese Podengo,"Ancient Portuguese hunting dogs, with different sizes and sizes, lively and agile personality, good at hunting.",Portugal,12-15 years,5-20Kg,20-55cm,"Smart, lively, loyal",1. 2 hours of exercise per day; 2-Brush the coat once a week. 3 Focus on olfactory training to satisfy hunting instincts,"hip dysplasia, patellar dislocation, eye disease",hound,medium,4,2,5,Yes
Spanish Bordenco Dog,Spanish Podenco,"The Spanish hound, resembling a thin dog in appearance, has a quick and lively personality, and is good at hunting.",Spain,12-15 years,8-20Kg,40-55cm,"Agile, lively, loyal","1. 2 hours of running every day; 2-Regularly check the joints to prevent injuries. 3 Positive training, correcting stubborn personality","hip dysplasia, patellar dislocation, skin allergies",hound,medium,3,2,5,Yes
Canary Hound,Podenco Canario,"Canary Islands hound, medium size, short coat, lively and quick-witted personality.",Spain,12-16 years,10-16Kg,48-55cm,"Smart, lively, brave",1. 2 hours of exercise per day; 2-Brush the coat once a week. 3 Avoid being alone for too long to prevent anxiety,"Poor hip development, eye disease, gastrointestinal problems",hound,medium,3,2,5,Yes
Sicilian Hound,Cirneco dell'Etna,"Italian Sicilian Hound, small in size, short fur, gentle and agile in character.",Italy,12-17 years,8-12Kg,42-48cm,"Docile, quick, lively","1. 1.5 hours of exercise per day; 2-Brush the coat once a week. 3. Eat light, prevent stones","Patellar dislocation, eye disease, urinary tract stones",hound,small,4,2,4,Yes
Rod Western Asia Back Dog (Short Hair),Rhodesian Ridgeback,A large South African hunting dog with a unique spine hair on its back. It has a brave and loyal character and is a lion hunting dog.,South Africa,10-12 years,30-39Kg,61-69cm,"Brave, loyal, steady",1. 2.5 hours of high-intensity exercise per day; 2-Brush short coats once a week. 3 Early socialization to reduce aggression,"hip dysplasia, dermatomyositis, thyroid disease",hound,large,3,2,5,Yes
The Bordeaux Dog,Dogue de Bordeaux,The French large Mastiff has a short reddish-brown coat and a gentle and loyal personality. It is a guard dog.,France,8-Ten years,45-50Kg,58-69cm,"Docile, loyal, brave","1. 1 hour of light exercise every day, avoid strenuous exercise; 2-Cleans facial wrinkles and prevents infection. 3 Control weight and reduce joint pressure","hip dysplasia, short nose syndrome, heart disease",working,large,2,2,2,No
Bordeaux Mastiff,French Mastiff,"The Bordeaux dog, also known as the dog, has a large size and a calm personality. It is an excellent family guard dog.",France,8-Ten years,45-55Kg,58-70cm,"Steady, loyal, and protective",1. Avoid high-temperature exercise to prevent heatstroke; 2-Regularly check the joints to prevent injuries. 3 Low-salt diet to protect the kidneys,"Poor hip joint development, poor elbow development, eyelid inversion",working,large,2,2,2,No
Brazilian Mastiff,Fila Brasileiro,"Large Brazilian guard dog, large in size, loyal and protective of the owner, extremely vigilant.",Brazil,9-11 years,41-50Kg,60-75cm,"Protecting, vigilant, loyal","1. 2 hours of exercise per day; 2-Strict training and standardized guard behavior; 3 .No urban breeding, need a large space","hip dysplasia, stomach torsion, heart disease",working,large,2,3,4,No
Argentinian Dogo Dog,Dogo Argentino,"A large hunting dog bred in Argentina, with a white coat and a brave and fierce character, used to hunt large wild animals.",Argentina,10-12 years,36-45Kg,60-68cm,"Brave, loyal, fierce","1. 3 hours of high-intensity exercise per day; 2-Strict training to control aggression; 3 .No breeding in many places, comply with regulations","Deafness, hip dysplasia, skin allergies",working,large,3,1,5,No
Kuda Dog,Bully Kutta,"Pakistan large Mastiff, large in size, fierce in character, is a fighting dog and guard dog.",Pakistan,8-Ten years,70-90Kg,70-90cm,"Fierce, Protector, Strong","1. 2 hours of exercise per day; 2-Professional breeding, strict control; 3 .No breeding in many places, no breeding in cities","hip dysplasia, heart disease, joint injury",working,large,1,3,3,No
Tosa Dog,Tosa Inu,"Japanese large fighting dogs, large in size, steady and fierce in character, are silent fighting dogs.",Japan,10-12 years,45-60Kg,65-75cm,"Steady, fierce, silent","1. It is prohibited to raise privately and comply with regulations; 2-Professional training to control aggression; 3 Large space for breeding, avoid being alone","hip dysplasia, stomach torsion, heart disease",working,large,1,2,3,No
Caucasian sheepdog,Caucasian Shepherd Dog,"Russian large guard dog, with thick fur and a brave and protective character, used to guard sheep.",Russia,10-12 years,45-70Kg,64-75cm,"Brave, Protector, Beware","1. 2 hours of exercise per day; 2-Strict training to establish obedience; 3 Large space for breeding, not suitable for apartment","Poor hip development, poor elbow development, obesity",working,large,2,5,4,No
Central Asian sheepdog,Central Asian Shepherd Dog,"The ancient sheepdog in Central Asia has a large body, dense fur, and a calm and protective character.",Central Asia,12-15 years,40-65Kg,60-78cm,"Steady, Protector, Independent",1. 2 hours of exercise per day; 2 Early socialization and regulation of behavior; 3 .Broom the coat 3 times a week,"Poor hip development, poor elbow development, skin problems",working,large,2,4,4,No
Anatolian sheepdog,Anatolian Shepherd Dog,"Turkish Shepherd, large in size, cautious and independent, guarding livestock.",Turkey,11-13 years,41-64Kg,71-81cm,"Vigilance, independence, loyalty","1. 2 hours of exercise per day; 2-Positive training, not forcing obedience; 3 Large space for breeding, adaptable to outdoors","Poor hip development, eye disease, gastrointestinal sensitivity",working,large,2,3,4,No
Karabakh dog,Karabash Dog,"The Anatolian Shepherd, also known as the Turkish national treasure dog, is an excellent working dog that guards the sheep.",Turkey,11-13 years,40-65Kg,70-80cm,"independent, alert, brave","1. 2 hours of outdoor activities per day; 2-Regularly comb the coat, and comb it daily during the shedding period. 3. Focus on guard training, standardize instincts","hip dysplasia, cataracts, thyroid disease",working,large,2,3,4,No
Pyrenees Mastiff,Pyrenean Mastiff,"The Spanish large Mastiff, with thick fur, gentle and loyal character, guarding livestock.",Spain,10-12 years,55-75Kg,72-82cm,"Docile, loyal, and protective",1. 1.5 hours of exercise per day; 2-Brush the thick coat three times a week. 3 Avoid high temperatures and prevent heatstroke,"hip dysplasia, stomach torsion, obesity",working,large,2,5,3,Yes
Spanish Mastiff,Spanish Mastiff,"Large Spanish guard dog, large in size, thick in fur, calm in character, protecting the owner.",Spain,10-12 years,50-70Kg,70-85cm,"Steady, Protector, Docile",1. 1 hour of light exercise per day; 2-Cleans skin wrinkles and prevents infection. 3 Control diet to prevent obesity,"Poor hip development, poor elbow development, heart disease",working,large,2,4,2,No
Naples Mastiff (short hair),Neapolitan Mastiff,"Italian large Mastiff, with many wrinkles on the skin, short fur, and a calm and protective personality.",Italy,8-Ten years,50-70Kg,60-75cm,"Steady, loyal, and protective",1. 1 hour of light exercise per day; 2-Clean the skin wrinkles daily to prevent infection. 3 Avoid strenuous exercise to prevent hypoxia,"hip dysplasia, short nose syndrome, skin infection",working,large,2,2,2,No
French Bordeaux Dog (Red Mastiff),Red Bordeaux Dog,"The Bordeaux is a reddish-brown variant, with a large body size and gentle personality, making it an excellent companion guard dog.",France,8-Ten years,45-55Kg,58-70cm,"Docile, loyal, brave",1. 1 hour walk per day; 2-Regularly check the heart to prevent diseases. 3 Keep warm in winter and sun protection in summer,"hip dysplasia, heart disease, eyelid inversion",working,large,2,2,2,No
St. Tony's dog,Saintongeois,"A large French hunting dog with short fur, gentle and lively personality, good at tracking and hunting.",France,10-12 years,25-35Kg,58-68cm,"Docile, lively, quick-witted","1. 2 hours of exercise per day; 2-Brush the coat once a week. 3. Focus on olfactory training, satisfy instincts","hip dysplasia, ear infection, eye disease",hound,large,3,2,5,Yes
Wangdai Dog,Griffon Vendéen,"French hound, with coarse and hard fur, lively and agile personality, good at hunting small animals.",France,12-15 years,20-25Kg,48-55cm,"Lively, sharp, loyal",1. 2 hours of exercise per day; 2-Brush the coarse and hard coat twice a week. 3 Correct the habit of calling love and standardize behavior,"hip dysplasia, patellar dislocation, skin allergies",hound,medium,4,3,5,Yes
Billie Dog,Billy,"A large French hunting dog with short fur, lively and loyal personality, good at hunting.",France,12-15 years,25-30Kg,58-65cm,"Lively, loyal, agile",1. 2.5 hours of running exercise per day; 2-Brush the coat once a week. 3 Regularly check the joints to prevent injuries,"hip dysplasia, stomach torsion, eye disease",hound,large,3,2,5,Yes
Brick Dog,Brittany,"Brittany, also known as the French sports dog, is compact in size, good at finding instructions, and has a lively personality.",France,12-14 years,14-18Kg,44-52cm,"Lively, smart, family","1. 1.5 hours of exercise per day; 2-Brush the coat twice a week. 3. Positive training, strong learning ability","hip dysplasia, epilepsy, eye disease",sporting,medium,4,2,4,Yes
French Wolf Dog,Beauceron,"The French large sheepdog is strong in size, intelligent and loyal, and is an excellent working dog.",France,10-12 years,30-45Kg,61-70cm,"Smart, loyal, obedient",1. 2 hours of exercise per day; 2-Brush the coat twice a week. 3 Pay attention to intellectual training to prevent boredom,"hip dysplasia, stomach torsion, eye disease",herding,large,5,2,5,Yes
Picardy sheepdog,Picardy Shepherd,"The ancient French sheepdog has a coarse and hard coat, a gentle and intelligent personality, and is good at shepherding.",France,12-14 years,22-32Kg,55-62cm,"Docile, smart, loyal","1. 2 hours of exercise per day; 2-Brush the coarse and hard coat twice a week. 3 Early socialization, adaptation to the family","Poor hip development, eye disease, gastrointestinal sensitivity",herding,medium,4,3,4,Yes
Republic of Latvia sheepdog,Latvian Shepherd,"Republic of Latvia sheepdog, medium size, thick coat, lively and quick-witted personality.",Republic of Latvia,12-15 years,18-25Kg,50-58cm,"Smart, lively, loyal",1. 2 hours of exercise per day; 2-Brush the coat twice a week. 3. Emphasize obedience training and standardize behavior,"hip dysplasia, patellar dislocation, skin allergies",herding,medium,4,3,4,Yes
The Republic of Estonia Hound,Estonian Hound,"The hound bred by Republic of Estonia is of medium size, with short fur and a gentle and lively personality.",Republic of Estonia,12-15 years,15-20Kg,42-50cm,"Docile, lively, quick-witted",1. 2 hours of exercise per day; 2-Brush the coat once a week. 3 Regularly clean the ear canal to prevent infection,"hip dysplasia, ear infection, eye disease",hound,medium,3,2,4,Yes
Lithuanian Hound,Lithuanian Hound,"Lithuanian ancient hunting dog, medium-sized, short fur, loyal and lively personality.",Lithuania,12-15 years,18-25Kg,48-55cm,"Loyal, lively, olfactory","1. 2 hours of exercise per day; 2-Brush the coat once a week. 3. Focus on olfactory training, satisfy instincts","Poor hip development, ear infections, gastrointestinal problems",hound,medium,3,2,5,Yes
Republic of Belarus Lycra Dog,Belarusian Laika,"Republic of Belarus sled dog, with thick coat, tough and loyal character, adaptable to cold.",Republic of Belarus,12-15 years,18-25Kg,50-58cm,"Tough, loyal, lively",1. 2.5 hours of exercise per day; 2-Brush the coat twice a week. 3. Adapt to the cold and prevent heatstroke in summer,"hip dysplasia, eye diseases, skin allergies",working,medium,3,4,5,Yes
Russian European Lycra Dog,Russian-European Laika,"Russian hound, with thick fur, quick and brave personality, good at hunting.",Russia,12-15 years,18-25Kg,52-58cm,"Smart, brave, loyal",1. 2 hours of exercise per day; 2-Brush the coat twice a week. 3 Correct the hunting instinct and regulate behavior,"hip dysplasia, patellar dislocation, eye disease",hound,medium,3,3,5,Yes
Western Siberian Lecra Dog,West Siberian Laika,"The Russian Siberian Hound has a thick coat and a tough and lively personality, adapting to severe cold.",Russia,12-16 years,18-28Kg,53-60cm,"Tough, lively, loyal","1. 2.5 hours of exercise per day; 2-Brush the coat twice a week. 3 Winter outdoor adaptation, summer heat protection","Poor hip development, stomach twist, skin problems",hound,medium,3,4,5,Yes
East Siberian Lycra Dog,East Siberian Laika,"Russian large hunting dog with thick fur, calm and brave personality, strong hunting ability.",Russia,12-16 years,22-30Kg,55-66cm,"Steady, brave, loyal","1. 2.5 hours of exercise per day; 2-Brush the coat three times a week. 3 Large space for breeding, adaptable to outdoors","Poor hip joint development, poor elbow development, eye disease",hound,large,3,4,5,Yes
Karelia Bear Dog,Karelian Bear Dog,"Finnish hound, black and white fur, brave and fierce, used to hunt black bears.",Finland,11-13 years,17-22Kg,48-56cm,"Brave, fierce, loyal",1. 3 hours of high-intensity exercise per day; 2-Strict training to control aggression; 3 .Professional breeding,"hip dysplasia, deafness, eye disease",hound,medium,3,2,5,No
Finnish Hound (small),Finnish Spitz,"Finnish national dog, with golden fur, lively and agile personality, good at hunting birds.",Finland,12-15 years,7-10Kg,38-48cm,"Lively, sharp, loyal",1. 1.5 hours of exercise per day; 2-Brush the coat twice a week. 3 Correct the habit of calling love and standardize behavior,"hip dysplasia, patellar dislocation, eye disease",hound,small,4,3,4,Yes
Norwegian Hound,Norwegian Hound,"Norwegian large hunting dog, short fur, steady and loyal personality, good at hunting.",Norway,12-15 years,25-35Kg,55-65cm,"Steady, loyal, olfactory",1. 2 hours of exercise per day; 2-Brush the coat once a week. 3 Regularly clean the ear canal to prevent infection,"Poor hip development, ear infection, stomach torsion",hound,large,3,2,4,Yes
Swedish hound,Swedish Hound,"Swedish medium-sized hunting dog, short fur, lively and gentle personality, good at hunting.",Sweden,12-15 years,15-22Kg,45-55cm,"Lively, docile, quick-witted",1. 2 hours of exercise per day; 2-Brush the coat once a week. 3 Focus on social training and adapt to the family,"hip dysplasia, patellar dislocation, eye disease",hound,medium,3,2,4,Yes
Danish Hound,Danish Hound,"A large Danish hunting dog with short fur, gentle and loyal character, and a keen sense of smell.",Denmark,12-15 years,25-35Kg,58-68cm,"Docile, loyal, olfactory",1. 2 hours of exercise per day; 2-Brush the coat once a week. 3 Regularly check the joints to prevent injuries,"Poor hip development, ear infection, stomach torsion",hound,large,3,2,4,Yes
Dutch Hound,Dutch Hound,"Dutch medium-sized hunting dog, short fur, lively and agile personality, good at tracking.",Netherlands,12-15 years,20-28Kg,53-60cm,"Lively, sharp, loyal","1. 2 hours of exercise per day; 2-Brush the coat once a week. 3. Focus on olfactory training, satisfy instincts","hip dysplasia, patellar dislocation, eye disease",hound,medium,3,2,4,Yes
Belgian coarse-haired hound,Belgian Roughhaired Hound,"Belgian hound, with coarse and hard fur, lively and loyal personality, good at hunting.",Belgium,12-15 years,20-28Kg,55-62cm,"Lively, loyal, quick",1. 2 hours of exercise per day; 2-Brush the coarse and hard coat twice a week. 3 Regularly clean the ear canal to prevent infection,"hip dysplasia, skin allergies, eye diseases",hound,medium,4,3,4,Yes
Austrian Black and Brown Hound,Austrian Black and Tan Hound,"Austrian hound, black-brown fur, steady and loyal personality, good at tracking.",Austria,12-15 years,20-27Kg,48-56cm,"Steady, loyal, olfactory",1. 2 hours of exercise per day; 2-Brush the coat once a week. 3 Regular diet to prevent gastrointestinal problems,"hip dysplasia, ear infection, eye disease",hound,medium,3,2,4,Yes
The Slovak Republic Hound,Slovakian Hound,"Slovak Republic hound, short fur, lively and quick-witted, good at hunting.",Slovak Republic,12-15 years,18-25Kg,45-53cm,"Lively, sharp, loyal","1. 2 hours of exercise per day; 2-Brush the coat once a week. 3 Early socialization, adaptation to the environment","hip dysplasia, patellar dislocation, skin allergies",hound,medium,3,2,4,Yes
Hungarian Hound,Hungarian Hound,"Hungarian medium-sized hunting dog with short fur, gentle and loyal character, and a keen sense of smell.",Hungary,12-15 years,20-28Kg,50-58cm,"Docile, loyal, olfactory",1. 2 hours of exercise per day; 2-Brush the coat once a week. 3 Regularly check the heart to prevent diseases,"Poor hip development, ear infection, heart disease",hound,medium,3,2,4,Yes
Romanian Hound,Romanian Hound,"Romanian hound, with short fur, brave and lively personality, good at hunting.",Romania,12-15 years,22-30Kg,52-60cm,"Brave, lively, loyal","1. 2.5 hours of exercise per day; 2-Brush the coat once a week. 3 Strict training, standard behavior","hip dysplasia, patellar dislocation, eye disease",hound,medium,3,2,5,Yes
The Republic of Bulgaria Hound,Bulgarian Hound,"Republic of Bulgaria medium-sized hound, short-haired, quick-witted and loyal, good at tracking.",Republic of Bulgaria,12-15 years,18-25Kg,48-55cm,"Smart, loyal, lively","1. 2 hours of exercise per day; 2-Brush the coat once a week. 3. Focus on olfactory training, satisfy instincts","hip dysplasia, ear infections, skin allergies",hound,medium,3,2,4,Yes
Serbian Hound,Serbian Hound,"Serbian hound, short fur, steady and loyal personality, good at hunting.",Serbia,12-15 years,18-25Kg,45-53cm,"Steady, loyal, olfactory",1. 2 hours of exercise per day; 2-Brush the coat once a week. 3 Regularly clean the ear canal to prevent infection,"hip dysplasia, ear infection, eye disease",hound,medium,3,2,4,Yes
The Montenegro Hound,Montenegrin Hound,"Montenegro hound, short hair, lively and brave, good at hunting.",Montenegro,12-15 years,18-25Kg,48-55cm,"Lively, brave, loyal",1. 2.5 hours of exercise per day; 2-Brush the coat once a week. 3 Correct the habit of calling love and standardize behavior,"hip dysplasia, patellar dislocation, skin allergies",hound,medium,3,2,5,Yes
North Macedonia Hound,Macedonian Hound,"North Macedonia hound, short fur, gentle and quick-witted, good at tracking.",North Macedonia,12-15 years,18-25Kg,45-53cm,"Docile, smart, loyal","1. 2 hours of exercise per day; 2-Brush the coat once a week. 3. Eat light, prevent stones","hip dysplasia, urinary tract stones, eye diseases",hound,medium,3,2,4,Yes
The Republic of Albania Hound,Albanian Hound,"Republic of Albania hound, short fur, lively and loyal, good at hunting.",Republic of Albania,12-15 years,18-25Kg,48-55cm,"Lively, loyal, quick","1. 2 hours of exercise per day; 2-Brush the coat once a week. 3 Early socializing, adapting to family","hip dysplasia, patellar dislocation, skin allergies",hound,medium,3,2,4,Yes
Greek Hound,Greek Hound,"Ancient Greek hunting dog, short fur, steady and loyal character, with a keen sense of smell.",Greek,12-15 years,20-28Kg,50-58cm,"Steady, loyal, olfactory",1. 2 hours of exercise per day; 2-Brush the coat once a week. 3 Regularly check the joints to prevent injuries,"hip dysplasia, ear infection, eye disease",hound,medium,3,2,4,Yes
Turkish hound,Turkish Hound,"Turkish medium-sized hunting dog, short fur, lively and agile personality, good at hunting.",Turkey,12-15 years,18-25Kg,48-55cm,"Lively, sharp, loyal",1. 2.5 hours of exercise per day; 2-Brush the coat once a week. 3. Adapt to high temperatures and prevent heatstroke,"hip dysplasia, skin sunburn, eye disease",hound,medium,3,2,5,Yes
Iranian Hound,Iranian Hound,"An ancient Iranian hunting dog, slender in size, short in fur, and agile and gentle in character.",Iran,12-15 years,18-25Kg,55-65cm,"Agile, docile, loyal",1. 2 hours of running every day; 2-Brush the coat once a week. 3 Keep warm in winter and protect the skin,"hip dysplasia, patellar dislocation, skin allergies",hound,medium,3,2,5,Yes
Iraqi hounds,Iraqi Hound,"Iraqi hound, slim in size, short in fur, independent and agile in character.",Iraq,12-15 years,18-25Kg,55-65cm,"independent, agile, loyal","1. 2 hours of exercise per day; 2-Brush the coat once a week. 3 Positive training, adapting to the family","Poor hip development, eye disease, gastrointestinal sensitivity",hound,medium,2,2,5,Yes
